	nucleoside	canonical_name	monoisotopic_mass	modification_rate
135	3480G	OHyWy	466.1812	1.0
145	3483G	yW	508.1918	1.0
131	34830G	OHyW	524.1867	1.0
137	34832G	o2yW	540.1816	1.0
40	4G	imG-14	321.1073	1.0
133	42G	imG2	335.123	1.0
85	47G	yW-86	422.155	1.0
92	7G	m7G	299.123	1.0
14	0U	Um	258.08518614	1.0
30	02U	s2Um	274.06234252	1.0
33	03U	m3Um	272.1008362	1.0
43	05U	m5Um	272.1008362	1.0
15	0503U	mcmo5Um	346.10123012	1.0
59	051U	cmnm5Um	345.11721453	1.0
71	0521U	mcm5Um	330.1063155	1.0
44	0522U	mchm5Um	346.10123012	1.0
54	053U	ncm5Um	315.10664985	1.0
46	0583U	inm5Um	355.17433547	1.0
13	09U	Ym	258.08518614	1.0
3	1309U	m1acp3Y	359.13286459	1.0
7	19U	m1Y	258.08518614	1.0
32	2U	s2U	260.04669246	1.0
29	20U	se2U	307.04642146	1.0
61	2051U	cmnm5se2U	273.09608517	1.0
50	20510U	nm5se2U	336.07297055	1.0
77	20511U	mnm5se2U	350.08862061	1.0
20	21U	ges2U	396.17189294	1.0
60	2151U	cmnm5ges2U	483.20392133	1.0
49	21510U	nm5ges2U	425.19844	1.0
76	21511U	mnm5ges2U	439.21409209	1.0
75	25U	m5s2U	274.0623	1.0
62	251U	cmnm5s2U	347.07872085	1.0
51	2510U	nm5s2U	289.07324155	1.0
78	2511U	mnm5s2U	303.08889161	1.0
72	2521U	mcm5s2U	332.06782182	1.0
55	253U	ncm5s2U	317.06815617	1.0
83	254U	tm5s2U	397.06135653	1.0
58	2540U	cm5s2U	318.05217176	1.0
47	2583U	inm5s2U	357.13584179	1.0
39	3U	m3U	258.08518614	1.0
36	30U	acp3U	345.11721453	1.0
34	308U	acp3D	347.13286459	1.0
35	309U	acp3Y	345.11721453	1.0
38	39U	m3Y	258.08518614	1.0
82	5U	m5U	258.08518614	1.0
70	50U	ho5U	260.0644507	1.0
74	501U	mo5U	274.08010076	1.0
143	502U	cmo5U	318.06993	1.0
144	503U	mcmo5U	332.08558006	1.0
63	51U	cmnm5U	331.10156447	1.0
52	510U	nm5U	273.09608517	1.0
79	511U	mnm5U	287.11173523	1.0
64	52U	cm5U	302.07501538	1.0
57	520U	chm5U	318.06993	1.0
73	521U	mcm5U	316.09066544	1.0
45	522U	mchm5U	332.08558006	1.0
56	53U	ncm5U	301.09099979	1.0
53	531U	nchm5U	317.08591441	1.0
84	54U	tm5U	381.08420015	1.0
65	55U	cnm5U	283.08043511	1.0
81	58U	m5D	260.1008362	1.0
48	583U	inm5U	341.15868541	1.0
41	74U	s4U	260.04669246	1.0
125	8U	D	246.08518614	1.0
138	9U	Y	244.06953608	1.0
